Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
52	153.78838	132.16173	267.06918	-175.318	483.2	26.300846	15.741015	74.034485	-32.44557	265000	2.0217895e-08	1018.2179	-0.011672024	-614.87427	0.8428662	0.010033857	0.0786	79.0	276.99116826057434
53	152.46312	89.436775	242.37442	-52.117832	643.0	11.428276	34.65895	93.18425	-121.46128	270000	5.4359437e-09	1337.4397	-0.008958196	-860.9834	0.8525469	0.0045084725	0.052	79.0	282.0550458431244
54	188.59396	25.456758	223.03374	140.83661	603.0	21.069159	14.188783	83.205215	-18.839802	275000	1.2207031e-08	261.88385	-0.006823607	-126.830826	0.8101374	0.006598216	0.0624	79.0	286.4947831630707
55	180.09882	98.16485	276.88187	-90.295876	496.4	35.00457	25.881449	106.475075	-0.5288719	280000	8.869171e-09	558.50183	-0.010231909	-187.88834	0.8189327	0.0073125404	0.0328	79.0	290.9337854385376
56	180.41214	34.34418	219.3774	106.81096	615.5714	20.36806	20.334152	79.68153	-25.475792	285000	-9.822846e-09	803.9638	-0.008385249	-245.01605	0.85264784	0.0067759934	0.0734	79.0	296.242192029953
57	177.02124	104.58869	232.81573	-115.74329	508.1111	28.068605	17.220032	77.74282	-28.711428	290000	2.6512145e-08	679.038	-0.008959828	-418.92267	0.80701923	0.008992129	0.071	79.0	300.6927607059479
58	189.32655	83.0003	237.8881	-43.22493	550.2222	31.955244	25.917963	93.47173	-13.754032	295000	1.1825562e-08	237.15927	-0.010431924	-109.93962	0.84688437	0.0028027305	0.0288	79.0	305.1840856075287
59	123.97088	180.54178	276.2758	-208.36317	579.5	30.921806	25.893291	115.45661	-81.525665	300000	1.3113022e-08	1576.7931	-0.012584468	-825.74176	0.83266455	0.006884944	0.0558	79.0	309.61553287506104
60	159.57816	98.07507	247.5438	-16.477203	560.25	22.96375	17.129534	82.62229	-59.85414	305000	5.912781e-09	437.8412	-0.009396032	-64.70697	0.86048025	0.008977423	0.0764	79.0	314.1019151210785
61	204.05153	13.052222	218.96344	179.48474	523.55554	24.190987	20.089352	91.69146	-75.56581	310000	7.6293943e-10	382.78818	-0.010318726	-290.67526	0.8723094	0.0053395242	0.0542	79.0	318.57832765579224
62	205.73299	26.463814	244.30655	156.54008	544.6667	31.422194	27.528679	103.51707	-51.732018	315000	-3.8146974e-09	405.3805	-0.008236832	-283.8275	0.78447217	0.0056723123	0.05	79.0	323.22777915000916
63	191.11797	75.07196	256.83414	-7.318741	506.77777	31.600868	21.132408	97.827484	-23.78207	320000	1.18732455e-08	644.0221	-0.005480688	-253.5097	0.78421456	0.004504937	0.03	79.0	327.200900554657
64	173.55055	102.49859	253.97417	-24.154676	434.63635	33.745594	18.868767	92.16676	3.7373097	325000	1.4877319e-08	575.9432	-0.009389172	-181.30063	0.8661299	0.004513216	0.0592	79.0	331.2490613460541
65	189.0309	101.13445	271.4951	-27.848907	468.5	28.803507	25.312122	102.71269	-46.471306	330000	-6.7710877e-09	588.0347	-0.012524393	-224.45627	0.80031145	0.016225083	0.11	42.0	335.4098539352417
66	215.94453	61.576485	257.3448	24.150791	437.81818	38.323174	21.697212	101.47713	-18.261343	335000	-1.9073486e-10	363.3185	-0.00819969	-77.22131	0.8194005	0.008328444	0.0844	79.0	339.8273220062256
67	238.9145	21.174252	277.458	206.02548	479.7	38.815758	21.52633	109.11149	-56.38061	340000	7.629395e-09	220.26704	-0.006931639	-71.224915	0.7772688	0.007202906	0.075	79.0	344.1523995399475
68	219.41064	28.49705	267.94467	149.70422	453.0909	40.668625	22.960598	102.78915	-13.182124	345000	1.4209747e-08	208.82594	-0.008853388	-93.20559	0.8021843	0.006402556	0.0722	79.0	348.4330472946167
69	224.71846	62.518333	278.73737	31.626146	409.75	46.50763	22.42444	104.67088	-0.5832293	350000	-3.2424927e-09	307.0033	-0.005785444	-64.893295	0.7873341	0.0038998863	0.0422	79.0	352.39621090888977
70	205.32207	63.781437	267.54736	24.92168	428.27274	44.636536	20.825663	124.11828	-13.438856	355000	5.722046e-10	572.7621	-0.011414379	-283.65253	0.7757267	0.0091733355	0.0852	79.0	356.8077096939087
71	240.95049	16.680346	259.95526	214.49799	450.18182	39.409706	19.934456	84.43587	-18.366894	360000	-1.5258789e-09	554.08466	-0.008810553	-261.18344	0.79086936	0.007348119	0.0686	79.0	360.9925277233124
72	243.75883	16.851467	262.26926	206.97191	417.9091	47.292473	20.80529	127.42832	-33.87767	365000	-1.9073487e-09	391.8987	-0.015952092	-279.17496	0.78801113	0.010535238	0.088	79.0	365.09362721443176
73	230.35835	38.964546	281.51117	139.10242	478.7	43.839806	20.270365	95.17616	-11.838133	370000	-1.4019013e-08	558.7443	-0.010138485	-276.9595	0.7386791	0.003293319	0.06	79.0	369.10936522483826
74	239.15553	22.514957	272.87	208.8214	421.18182	44.94269	18.733524	90.416565	7.374017	375000	2.5749207e-09	636.3653	-0.0071621044	-377.49435	0.7774597	0.004872073	0.0462	79.0	373.32599997520447
75	237.10718	27.217205	278.84357	185.90492	447.8	44.336918	19.92057	105.589005	-7.1000876	380000	1.2397766e-08	422.8253	-0.0022952359	-178.47218	0.7833877	0.015342304	0.1642	5.0	377.1680293083191
76	179.0423	88.34662	268.5729	3.1272368	488.4	45.866344	32.874763	207.1856	-55.62163	385000	1.6117095e-08	1830.3572	-0.011516636	-1252.376	0.738347	0.0022909218	0.0536	79.0	381.4879174232483
